# index, date, coordinate, B02, B03, B04, B05, B8A
233,2022-11-10,7.196759061941208-46.81443321416921,(200-200),(200-200),(200-200),(100-100),(100-100)
234,2022-11-10,7.289032973829848-46.80011266360668,(200-200),(200-200),(200-200),(100-100),(100-100)
236,2022-11-10,7.354751135060212-46.8377418000573,(200-200),(200-200),(200-200),(100-100),(100-100)
237,2022-11-10,7.307540846797508-46.86764280456188,(200-200),(200-200),(200-200),(100-100),(100-100)
238,2022-11-10,7.467410429224174-46.870760379640956,(200-200),(200-200),(200-200),(100-100),(100-100)
239,2022-11-10,7.452657356577873-46.812781088594136,(200-200),(200-200),(200-200),(100-100),(100-100)
240,2022-11-10,7.379428443616234-46.791665512973935,(200-200),(200-200),(200-200),(100-100),(100-100)
241,2022-11-10,7.345362202889646-46.79882738903427,(200-200),(200-200),(200-200),(100-100),(100-100)
242,2022-11-10,7.42929948035038-46.867591101467724,(200-200),(200-200),(200-200),(100-100),(100-100)
243,2022-11-10,7.424475236217262-46.839746472101126,(200-200),(200-200),(200-200),(100-100),(100-100)
244,2022-11-10,7.392442255164269-46.87418723899731,(200-200),(200-200),(200-200),(100-100),(100-100)
245,2022-11-10,7.441649507562602-46.894102593315864,(200-200),(200-200),(200-200),(100-100),(100-100)
246,2022-11-10,7.390705489503262-46.89647612305927,(200-200),(200-200),(200-200),(100-100),(100-100)
248,2022-11-10,7.5261700356490735-46.80462322068874,(200-200),(200-200),(200-200),(100-100),(100-100)
249,2022-11-10,7.574746087009032-46.78473537065764,(200-200),(200-200),(200-200),(100-100),(100-100)
250,2022-11-10,7.596185805881333-46.81903494726177,(200-200),(200-200),(200-200),(100-100),(100-100)
252,2022-11-10,7.591849381700058-46.893660015300554,(200-200),(200-200),(200-200),(100-100),(100-100)
253,2022-11-10,7.5658319881343346-46.905511374730935,(200-200),(200-200),(200-200),(100-100),(100-100)
255,2022-11-10,7.582935963666472-46.94795738273308,(200-200),(200-200),(200-200),(100-100),(100-100)
256,2022-11-10,7.467062526924764-47.04571814564778,(200-200),(200-200),(200-200),(100-100),(100-100)
257,2022-11-10,7.390215264061908-47.05786416147754,(200-200),(200-200),(200-200),(100-100),(100-100)
258,2022-11-10,7.467785437019899-47.10838799020709,(200-200),(200-200),(200-200),(100-100),(100-100)
259,2022-11-10,7.515242766542713-47.128551249120505,(200-200),(200-200),(200-200),(100-100),(100-100)
260,2022-11-10,7.549318362027805-46.751940246970605,(200-200),(200-200),(200-200),(100-100),(100-100)
261,2022-11-10,7.617615652663545-46.69734610676139,(200-200),(200-200),(200-200),(100-100),(100-100)
262,2022-11-10,7.534193574265487-46.73493620786547,(200-200),(200-200),(200-200),(100-100),(100-100)
263,2022-11-27,8.173479998511283-46.84754109306567,(200-200),(200-200),(200-200),(100-100),(100-100)
265,2022-11-27,8.188718809838377-46.88220821015062,(200-200),(200-200),(200-200),(100-100),(100-100)
266,2022-11-27,8.228478135459454-46.90379278772238,(200-200),(200-200),(200-200),(100-100),(100-100)
269,2022-11-27,9.54478833872227-47.347965992706236,(200-200),(200-200),(200-200),(100-100),(100-100)
270,2022-11-27,9.576699201943768-47.35896174520292,(200-200),(200-200),(200-200),(100-100),(100-100)
271,2022-11-27,9.593479914499085-47.37647566889015,(200-200),(200-200),(200-200),(100-100),(100-100)
272,2022-11-27,9.613011563540226-47.38951417479791,(200-200),(200-200),(200-200),(100-100),(100-100)
273,2022-11-27,9.603933452032152-47.293885770587934,(200-200),(200-200),(200-200),(100-100),(100-100)
274,2022-11-27,9.47684108896405-47.231158570495694,(200-200),(200-200),(200-200),(100-100),(100-100)
275,2022-11-27,9.47133921599439-47.21583874112079,(200-200),(200-200),(200-200),(100-100),(100-100)
276,2022-11-27,9.462811312892626-47.19771078777987,(200-200),(200-200),(200-200),(100-100),(100-100)
277,2022-11-27,9.324329057693234-47.110766877037065,(200-200),(200-200),(200-200),(100-100),(100-100)
280,2022-11-27,9.051245010195714-47.54779814417239,(200-200),(200-200),(200-200),(100-100),(100-100)
281,2022-11-27,9.163641888134407-47.52943149894301,(200-200),(200-200),(200-200),(100-100),(100-100)
282,2022-11-27,9.199366620120287-47.554475161369396,(200-200),(200-200),(200-200),(100-100),(100-100)
283,2022-11-27,9.249656665751502-47.555217018295195,(200-200),(200-200),(200-200),(100-100),(100-100)
284,2022-11-27,9.314511587984441-47.56374761807035,(200-200),(200-200),(200-200),(100-100),(100-100)
285,2022-11-27,9.231519259447055-47.52720464107324,(200-200),(200-200),(200-200),(100-100),(100-100)
286,2022-11-27,9.385687095662888-47.5299880052068,(200-200),(200-200),(200-200),(100-100),(100-100)
287,2022-11-27,9.186086623591962-47.4997642285056,(200-200),(200-200),(200-200),(100-100),(100-100)
288,2022-11-27,9.289233503840649-47.50852912991661,(200-200),(200-200),(200-200),(100-100),(100-100)
289,2022-11-27,9.02223161625372-47.3943610581546,(200-200),(200-200),(200-200),(100-100),(100-100)
290,2022-11-27,9.060472943623694-47.38541980390079,(200-200),(200-200),(200-200),(100-100),(100-100)
