# index, date, coordinate, B02, B03, B04, B05, B8A
241,2022-01-14,7.345362202889646-46.79882738903427,(200-200),(200-200),(200-200),(100-100),(100-100)
242,2022-01-14,7.42929948035038-46.867591101467724,(200-200),(200-200),(200-200),(100-100),(100-100)
243,2022-01-14,7.424475236217262-46.839746472101126,(200-200),(200-200),(200-200),(100-100),(100-100)
244,2022-01-14,7.392442255164269-46.87418723899731,(200-200),(200-200),(200-200),(100-100),(100-100)
245,2022-01-14,7.441649507562602-46.894102593315864,(200-200),(200-200),(200-200),(100-100),(100-100)
246,2022-01-14,7.390705489503262-46.89647612305927,(200-200),(200-200),(200-200),(100-100),(100-100)
248,2022-01-14,7.5261700356490735-46.80462322068874,(200-200),(200-200),(200-200),(100-100),(100-100)
249,2022-01-14,7.574746087009032-46.78473537065764,(200-200),(200-200),(200-200),(100-100),(100-100)
250,2022-01-14,7.596185805881333-46.81903494726177,(200-200),(200-200),(200-200),(100-100),(100-100)
252,2022-01-14,7.591849381700058-46.893660015300554,(200-200),(200-200),(200-200),(100-100),(100-100)
253,2022-01-14,7.5658319881343346-46.905511374730935,(200-200),(200-200),(200-200),(100-100),(100-100)
254,2022-01-14,7.6450884630680775-46.93562190037596,(200-200),(200-200),(200-200),(100-100),(100-100)
255,2022-01-14,7.582935963666472-46.94795738273308,(200-200),(200-200),(200-200),(100-100),(100-100)
256,2022-01-14,7.467062526924764-47.04571814564778,(200-200),(200-200),(200-200),(100-100),(100-100)
257,2022-01-14,7.390215264061908-47.05786416147754,(200-200),(200-200),(200-200),(100-100),(100-100)
258,2022-01-14,7.467785437019899-47.10838799020709,(200-200),(200-200),(200-200),(100-100),(100-100)
259,2022-01-14,7.515242766542713-47.128551249120505,(200-200),(200-200),(200-200),(100-100),(100-100)
260,2022-01-14,7.549318362027805-46.751940246970605,(200-200),(200-200),(200-200),(100-100),(100-100)
261,2022-01-14,7.617615652663545-46.69734610676139,(200-200),(200-200),(200-200),(100-100),(100-100)
262,2022-01-14,7.534193574265487-46.73493620786547,(200-200),(200-200),(200-200),(100-100),(100-100)
263,2022-01-26,8.173479998511283-46.84754109306567,(200-200),(200-200),(200-200),(100-100),(100-100)
264,2022-01-26,8.176527763542396-46.827639959851695,(200-200),(200-200),(200-200),(100-100),(100-100)
265,2022-01-26,8.188718809838377-46.88220821015062,(200-200),(200-200),(200-200),(100-100),(100-100)
